pid,document_ids,full_name,given_name,surname_enslaver,dit_alias,alt_first_name,alt_surname_enslaver,nation_given,descendant_surnames,alt_descendant_surnames,biographical_notes,racial_descriptions,ethnic_descriptions,status,age_notes,other_documents_present,document_descriptions,related_people,related_people_ids,stories,daem_comments,daem_editor
#kl0001,d0207,"Mama ""Julie"" Comba",Julie,Comba,Mama Comba,,,Julie of the Mandinga nation,"Comba, Coomba",,An African woman of the Mandinga nation who lived in the Hospital for the Poor (L'Hôpital des Pauvres) and was enslaved to the Capuchin priests. She is questioned in the case of Louis dit Foÿ.,négresse,Mandinga nation,enslaved,50,,,"#kl0002,#kl0003,#kl0004,#kl0005,#kl0006,#kl0007","#kl0002, #kl0003, #kl0004, #kl0005, #kl0006, #kl0007",,,
#kl0002,d0207,Louis dit Foÿ (Gaillardy),Louis,(Gaillardy),Foÿ,,(Blevins),,"Gaillard, Gaillardi, Gaillarde, Gallaud","Blevins, Blouin, Blouins","Lived in Saint-Domingue and the Illinois Country prior to arriving in Louisiana. He was enslaved to Sr. Duplessis in Saint-Domingue, sent from Le Cap to Sieur Gaillardy, sold by Gaillardy to Sieur Blevins of Illinois Country, then accused of having gone maroon.",nègre,Bambara nation,"enslaved,maroon",35,,"Self-identifies his age, biographical information (including enslavers in Saint-Domingue and the Illinois Country) and nation in his testimony.","#kl0001,#kl0003,#kl0004,#kl0005,#kl0006,#kl0007","#kl0001, #kl0003, #kl0004, #kl0005, #kl0006, #kl0007",,,
#kl0003,d0207,Louison (Cantrelle),Louison,(Cantrelle),,,,,"Cantrelle, Cantrell",,"Lived in a cabin in the garden of her enslaver, Cantrelle, and is a friend of Mama Comba.",négresse,,enslaved,50,,,"#kl0001,#kl0002,#kl0006,#kl0005","#kl0001, #kl0002, #kl0006, #kl0005",,,
#kl0004,d0207,Cézar (Jung),Cézar,(Jung),,Cesar,(Cezar),,"Jung, Young","Cesar, Ceasar, Cezar, Cezard, Cezar","Friend of Louis dit Foÿ and enslaved by Jung, the Lieutenant of the Police.","nègre,créole",Creole nation,enslaved,30,,"Self-identifies his age and as being ""Creolle de nation.""",#kl0002,#kl0002,,,
#kl0005,d0207,Fatima (de Lafrenière),Fatima,(de Lafrenière),,,,,Lafreniere,,Enslaved to de Lafrenière and identified as associating with Mama Comba and Louis dit Foÿ.,négresse,,enslaved,,,,"#kl0001,#kl0002,#kl0003","#kl0001, #kl0002, #kl0003",,,
#kl0006,d0207,"""une autre négress""",,,,,,,,,"Friend of Louison (Cantrelle) and accused of attending an illicit dinner with Mama Comba, Cézar (Jung), and Louis dit Foÿ where she eats ""un gombeau.""",négresse,,enslaved,,,,"#kl0003,#kl0004","#kl0003, #kl0004",,,
#kl0007,d0207,"unnamed ""négresse"" (Baschemin)",,(Baschemin),"unnamed ""négresse""",,,,"Baschemin, Beschemin",,"Unnamed in this document, she is referred to in the interrogation of Mama Comba regarding Louis dit Foÿ. She is enslaved to Baschemin.",négresse,,enslaved,,,,#kl0002,#kl0002,,,
#kl0008,d0295,Biron (Soubaigne),Biron,(Soubaigne),,Biran,,Biron of the Bambara nation,"Soubaigne, Soubane",,"Arrived in Louisiana on the ship ""L'Aurore"" and repeatedly seeks his freedom through marronage. He does not speak French and is enslaved to Jean Soubaigne.",nègre,Bambara nation,"enslaved,maroon",,"d0296,d0297",,"#kl0014,#kl0022","#kl0014, #kl0022",,,
#kl0009,d0254,Louis Congo,,,,,,,,,Promised his freedom in 1725 by colonial administrators in exchange for his role as High Executioner. He is the husband of Suzanne.,nègre,Congo nation,liminal,,"d0296,d0096",,"#kl0029,#kl0030,#kl0031,#kl0032","#kl0029, #kl0030, #kl0031, #kl0032",,,
#kl0010,d0329,Charlotte (Meuillion),Charlotte,(Meuillion),,,,Charlotte of the Senegal nation,"Meuillion, Meuillon, Moullon, Moulard, Meilleur",,"Mother of Louis and Helene and enslaved to Antoine Meullion, surgeon residing at Pointe Coupée. She spends over 20 years seeking freedom for herself and her children.",négresse,Senegal nation,"liminal,enslaved",,d0350,,"#kl0011,#kl0012","#kl0011, #kl0012",,,
#kl0011,d0329,Louis (Meuillion),Louis,(Meuillion),,,,,"Meuillion, Meuillon, Moullon, Moulard, Meilleur",,"Son of Charlotte (Meuillion) and the older brother of Helene. He  is enslaved to Antoine Meuillion, surgeon residing at Pointe Coupée.",mûlatre,,"liminal,enslaved",2,d0350,age identified by enslaver,"#kl0010,#kl0012","#kl0010, #kl0012",,,
#kl0012,d0350,Helene (Meuillion),Helene,(Meuillion),,,,,"Meuillion, Meuillon, Moullon, Moulard, Meilleur",,"Daughter of Charlotte (Meuillion) and younger sister to Louis, Charlotte's firstborn child. She is enslaved to Antoine Meuillion, surgeon residing at Pointe Coupée.",unidentified,,"liminal,enslaved",,,,"#kl0010,#kl0011","#kl0010, #kl0011",,,
#kl0013,d0286,Pierrot (Brosset),Pierrot,(Brosset),,Pierre,(Boisson),,"Brosset, Brossett, Brosier","Boisson, Boisseau, Boisseaux, Boisser, Boissier, Bossier","Enslaved by Michèl Brosset and then sold by Claude Boisson and his wife, Magdelaine Chenier. Sometime during the course of his sale, Pierrot goes maroon.","nègre,pièce d'inde",,"enslaved,maroon",,,,,,,,
#kl0014,d0296,Samba Bambara,Samba,,Bambara,,,Samba Bambara Christian,Samba,,"Interpreter for the Superior Council of the Bamana language and is described by the court as ""a Bambara Christian.""",nègre,Bambara nation,"unknown,liminal",,,,#kl0008,#kl0008,,,
#kl0015,d0111,Naneta Saint-Marc,Naneta,,,Nanette,,,"St. Marc, St. Mark, Marcos, Marcon, Marcs, Marks",,"Sister of Juan Pedro alias Bonhomme and identified as being from the Attakapas Post, near Opelousas.","negra libre,parda libre",,free,,,,#kl0016,#kl0016,,,
#kl0016,d0111,Juan Pedro alias Bonhomme (Prevot),Juan Pedro,(Prevot),Bonhomme,Jean-Pierre,,,"Prevost, Provost",,"Brother of Naneta St. Marc and enslaved by Salomon Prevot. He was injured when a small shack, or ""choza,"" fell on him during a hurricane prior to 1793, possibly the Great Cuba Hurricane of 1791.","negro,negro esclavo",,"enslaved,liminal",,,,#kl0015,#kl0015,,,
#kl0017,d0347,Louis (Mouton),Louis,(Mouton),"unnamed ""nègre""",Pierre,(Bonvillian),,"Mouton, Moutin, Demoutin","Bonvillian, Bonvillain","Enslaved to Catherine Mouton, the Widow Bonvillian.","nègre,pièce d'inde",,enslaved,,,,,,,,
#kl0018,d0326,Maria Juana,Maria Juana,,,Marie-Jeanne,(Jeanne),,,"Jeanne, Jeanton, Jean, Janneton, Jeanneton",Negra libre and buyer of a plot on which to place a market stall on Ursulines. She is an associate of Genoveva Junon.,"negra libre,negra",,free,,,,#kl0020,#kl0020,,,
#kl0019,d0188,"unnamed ""négresse"" (de Chavannes)",,(de Chavannes),"unnamed ""négresse""",,(de Gauvrit),,"Chavannes, Chauvin","Gauvrit, Gouvrit, Gauvret",Enslaved to Jean-Baptiste de Chavannes beginning in 1722-1723 and previously enslaved to de Gauvrit who purchased her from the Company of the Indies. She was forced upriver by de Chavannes to his plantation near the village of the Petits Collas (Acolapissa).,"négresse,pièce d'inde",,"enslaved,maroon",,,,,,,,
#kl0020,d0326,Genoveva Junon,Genoveva,Junon,,Geneviève ,(Genoveva),,"Junon, Junion, Jinon, Janon, Dejanon, Zamon, Jonon, Junan",Genoveva,"Negra libre, homeowner in the City of New Orleans; associate of Maria Juana.","negra libre,negra",,free,,,,#kl0018,#kl0018,,,
#kl0021,d0281,Naneta Boré,Naneta,Boré,,Nanette,,,"Bore, Bouret, Baure, Borre, Porre, Barre, Debore",,"Mulata libre and friend, or kin, of Maturine (Boré). She is accused of associating with the English at Manchac and being of ill repute.","mulata,mulata libre",,free,,,,#kl0033,#kl0033,,,
#kl0022,d0295,"unnamed ""nègre"" (Soubaigne)",,(Soubaigne),"unnamed ""nègre""",,,,"Soubaigne, Soubraigne, Soubane",,Lived on the plantation of Jean Soubaigne in Gentilly. He is referenced in the interrogation and trial of Biron (Soubaigne).,nègre,,enslaved,,,,#kl0008,#kl0008,,,
#kl0023,d0260,Angelica (Ramis),Angelica,(Ramis),,,,,"Rami, Ramis, Remy",,"Grandmother to Maria Antonia (Porta). This suit follows Angelica's legal proceedings as she goes before the New Orleans cabildo to initiate coartación proceedings for her 4-year old granddaughter, Maria Antonia, so that she may purchase her freedom.","negra,negra coartada",,"enslaved,liminal",,,,#kl0024,#kl0024,,,
#kl0024,d0260,Maria Antonia (Porta),Maria Antonia,(Porta),,,,,"Porta, Porte, Laporte",,"4-year old granddaughter of Angelica (Ramis), enslaved by Santiago Porta. She is granted freedom after her grandmother, Angelica, successfully pursues her coartación.","mulatica,mulata,mulata esclava",,"enslaved,liminal",4,,,#kl0023,#kl0023,,,
#kl0025,d0218,Catharina (D'Éstrehan),Catharina,(D'Éstrehan),,"Catalina, Cathalina",(Destrehan),,Destrehan,,"Catharina, mulata esclava, belonging to the estate of Don Juan Bautista Destrehan, which is administered by Étienne de Boré. She is the mother of Felicité who is enslaved on the Destrehan Plantation.","mulata,mulata esclava,mûlatress",,"enslaved,liminal",36,,,#kl0027,#kl0027,,,
#kl0026,d0175,Julia Fortier,Julia,Fortier,,,,,"Fortier, Fourrier, Fournier",,Negra libre and resident of the City of New Orleans. She files a freedom suit on behalf of Medery (Picquery).,"negra,negra libre",,free,,,,#kl0028,#kl0028,,,
