pid,label,Keyword,Description,Image,References,Main Bias Set Records,Editor(s),Image Caption,Comments (K4BL Only),Created
abuse,Abuse,abuse,,,,"35,97,153,179,184,222,231,333,336",,,,5/10/2024 9:53 AM
africa,Africa,Africa,,,,207,,,,5/10/2024 9:53 AM
afro-indigeneity,Afro-Indigeneity,Afro-Indigeneity,,,,"4,5,263,342",,,,5/10/2024 9:53 AM
army,Army,army,,,,"61,68,171,172,247",,,,5/10/2024 9:53 AM
auction,Auction,auction,,,,"66,74,165",,,,5/10/2024 9:53 AM
boyhood,Boyhood,boyhood,,,,"52,54,58,115,135,343",,,,5/10/2024 9:53 AM
burial,Burial,burial,,,,"41,272",,,,5/10/2024 9:53 AM
care,Care,care,,,,"67,72,73,100,119,210,232,280,287,309",,,,5/10/2024 9:53 AM
caribbean,Caribbean,Caribbean,,,,"128,264",,,,5/10/2024 9:53 AM
catholicism,Catholicism,Catholicism,,,,"51,200,272,282,300",,,,5/10/2024 9:53 AM
cattle,Cattle,cattle,,,,92,,,,5/10/2024 9:53 AM
charity-hospital,Charity Hospital,Charity Hospital,,,,"56,57,182,207,327",,,,5/10/2024 9:53 AM
childhood,Childhood,childhood,,,,"6,22,27,29,30,31,32,52,54,56,57,58,62,71,78,79,88,90,114,115,135,195,218,258,325,329,343,350",,,,5/10/2024 9:53 AM
cimarron,Cimarron,cimarron,,,,"63,166,312",,,,5/10/2024 9:53 AM
coartación,Coartación,coartación,,,,"28,35,175,218,260,261,263",,,,5/10/2024 9:53 AM
code-noir,Code Noir,Code Noir,"The Code Noir of 1724 lays out the the restrictions for enslaved Africans and African-desendant peoples.",,,"221,222,254,272,343,351",,,,5/10/2024 9:53 AM
collaboration,Collaboration,collaboration,,,,"21,96,127,136,166,188,254,277,281,311,342",,,,5/10/2024 9:53 AM
communication,Communication,communication,,,,"82,140",,,,5/10/2024 9:53 AM
conspiracy,Conspiracy,conspiracy,,,,"21,35,132,144,211,254,294,335",,,,5/10/2024 9:53 AM
contract-labor,Contract Labor,contract labor,,,,"11,12,53,100,152,158,159,160,161,192,332",,,,5/10/2024 9:53 AM
crime-punishment,Crime & Punishment,crime & punishment,,,,"10,16,24,25,26,39,59,60,106,132,155,207,217,221,222,231,254,269,294,296,297,307,322,342,343",,,,5/10/2024 9:53 AM
culture,Culture,culture,,,,207,,,,5/10/2024 9:53 AM
death,Death,death,,,,"46,58,62,68,70,71,85,98,99,101,102,108,130,171,172,179,182,184,200,223,226,227,231,232,272,316,330,331,342,343,350",,,,5/10/2024 9:53 AM
debt,Debt,debt,,,,"55,146,149,155,157,162,163,164,165,185,186,196,197,198,199,202,204,205,206,213,229,325",,,,5/10/2024 9:53 AM
disability,Disability,disability,,,,"32,45,46,62,98,108,127,129,201,205,207,208,209,218,280,312,313",,,,5/10/2024 9:53 AM
displacement,Displacement,displacement,,,,"9,18,23,40,103,177,283,308",,,,5/10/2024 9:53 AM
domestic-labor,Domestic Labor,domestic labor,,,,"14,31,76,100,126,136",,,,5/10/2024 9:53 AM
emancipation,Emancipation,emancipation,,,,"28,29,43,44,50,111,114,175,176,210,214,216,260,261,263,281,309,328",,,,5/10/2024 9:53 AM
estate,Estate,estate,,,,"1,3,22,30,31,32,33,41,42,43,44,45,47,50,64,66,76,78,79,80,81,92,123,150,157,168,197,199,310",,,,5/10/2024 9:53 AM
exchange,Exchange,exchange,,,,"7,19,23,94,103,105,107,165,192,193,198,202,203,212,239",,,,5/10/2024 9:53 AM
family,Family,family,,,,"22,27,28,32,44,47,62,78,79,81,87,105,109,119,244,261,263,265,329,332,346,350",,,,5/10/2024 9:53 AM
fatherhood,Fatherhood,fatherhood,,,,"79,81,115",,,,5/10/2024 9:53 AM
foodways,Foodways,foodways,,,,207,,,,5/10/2024 9:53 AM
free-people-of-color,Free People Of Color,free people of color,,,,"111,116,120,175,176,201,205,209,211,219,260,261,267,270,273,281,289,303,315,317,318,319,326",,,,5/10/2024 9:53 AM
freedom,Freedom,freedom,,,,"12,43,50,111,116,120,124,151,175,176,210,240,241,260,261,278,303,314,350",,,,5/10/2024 9:53 AM
freedom-papers,Freedom Papers,freedom papers,,,,"44,120,175,314,351,352,353",,,,5/10/2024 9:53 AM
freedom-suit,Freedom Suit,freedom suit,,,,"4,5,111,116,151,175,176,260,261,263,281,287,324,351,352,353",,,,5/10/2024 9:53 AM
